% time	cellId	IMSI	RNTI	sinrLinear
0.607	1	43	7	0.417493
0.608	2	8	8	25.7506
0.608	4	22	8	5.67524
0.608	1	38	8	0.694995
0.609	2	9	9	13.4521
0.609	3	13	9	1.72906
0.609	4	27	9	1.28426
0.609	1	42	9	0.233718
0.61	3	12	10	10.7756
0.61	1	46	10	0.647727
0.611	1	41	11	1428.49
0.612	4	21	12	3.05063
0.612	1	33	12	60.1997
0.613	1	40	13	964.652
0.614	1	44	14	2200
0.615	1	32	15	4661.1
0.616	1	34	16	688.4
0.617	1	50	17	726.608
0.618	1	35	18	1272.87
0.619	1	48	19	925.535
0.62	1	37	20	47099.4
0.621	2	5	21	8134.94
0.624	3	18	24	5007.54
0.625	4	30	25	5209.98
0.628	2	6	28	5.93373
0.628	3	16	28	7.17178
0.635	2	10	35	5104.91
0.637	3	19	37	3844.58
0.638	3	17	42	4634.11
0.641	2	2	1	17.8785
0.641	3	11	41	0.570075
0.641	4	26	1	0.134322
0.641	1	47	1	8.5217
0.642	4	23	2	9.15671
0.642	1	39	2	37.5192
0.643	2	4	3	17.6337
0.643	3	20	3	6.24239
0.643	4	25	3	4.53991
0.643	1	49	3	0.113328
0.644	3	15	4	7.47336
0.644	1	31	4	0.259729
0.645	2	1	5	13.9753
0.645	4	28	5	30.7148
0.645	1	36	5	4.01298
0.646	2	3	6	14.4911
0.646	4	29	6	0.715696
0.646	1	45	6	0.550955
0.647	2	7	7	7.00322
0.647	3	14	7	5.26614
0.647	4	24	7	4.70813
0.647	1	43	7	0.415948
0.648	2	8	8	26.0268
0.648	4	22	8	5.63592
0.648	1	38	8	0.698391
0.649	2	9	9	13.5512
0.649	3	13	9	1.72717
0.649	4	27	9	1.29706
0.649	1	42	9	0.234012
0.65	3	12	10	10.7587
0.65	1	46	10	0.648215
0.651	1	41	11	1432.34
0.652	4	21	12	3.06069
0.652	1	33	12	59.4165
0.653	1	40	13	963.274
0.654	1	44	14	2201.69
0.655	1	32	15	4639.37
0.656	1	34	16	689.59
0.657	1	50	17	725.39
0.658	1	35	18	1270.7
0.659	1	48	19	925.306
0.66	1	37	20	46643
0.661	2	5	21	8192.83
0.664	3	18	24	4983.14
0.665	4	30	25	5176.95
0.668	2	6	28	5.94965
0.668	3	16	28	7.21048
0.675	2	10	35	5118.16
0.677	3	19	37	3833.05
0.678	3	17	42	4656.63
0.681	2	2	1	23.2903
0.681	4	26	1	2.10144
0.681	1	47	1	12.4351
0.682	4	23	2	9.12843
0.682	1	39	2	37.4585
0.683	2	4	3	17.6604
0.683	3	20	3	6.23545
