% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2309	1	30	29	0	10	1980	0	1
2310	1	18	25	0	12	2481	0	1
2311	1	17	24	0	24	6882	0	1
2312	1	5	21	0	14	3182	0	1
2313	1	16	23	0	8	1764	0	1
2314	1	41	11	0	18	4107	0	1
2315	1	33	12	0	28	9422	0	1
2316	1	42	9	0	16	3822	0	1
2317	1	32	15	0	24	6882	0	1
2318	1	19	26	0	24	6882	0	1
2319	1	40	13	0	20	4904	0	1
2320	1	6	27	0	14	3182	0	1
2321	1	43	7	0	18	4107	0	1
2322	1	34	16	0	14	3182	0	1
2323	1	50	17	0	14	3182	0	1
2324	1	48	19	0	14	3182	0	1
2325	1	31	4	0	12	2481	0	1
2326	1	46	10	0	12	2481	0	1
2327	1	49	3	0	10	1980	0	1
2328	1	47	1	0	26	7708	0	1
2329	1	44	14	0	6	1287	0	1
2330	1	11	22	0	6	1287	0	1
2331	1	45	6	0	6	1287	0	1
2332	1	39	2	0	28	9422	0	1
2333	1	36	5	0	28	9422	0	1
2334	1	37	20	0	28	9422	0	1
2335	1	38	8	0	22	5861	0	1
2336	1	35	18	0	20	4904	0	1
2337	1	33	12	0	28	9422	0	1
2338	1	34	16	0	14	3182	0	1
2339	1	39	2	0	28	9422	0	1
2340	1	36	5	0	28	9422	0	1
2341	1	37	20	0	28	9422	0	1
2342	1	38	8	0	22	5861	0	1
2343	1	35	18	0	20	4904	0	1
2405	1	7	30	0	14	3182	0	1
2406	1	15	32	0	14	3182	0	1
2407	1	12	31	0	8	1764	0	1
2408	1	10	28	0	22	5861	0	1
2409	1	30	29	0	10	1980	0	1
2410	1	18	25	0	12	2481	0	1
2411	1	17	24	0	24	6882	0	1
2412	1	5	21	0	14	3182	0	1
2413	1	41	11	0	18	4107	0	1
2414	1	16	23	0	8	1764	0	1
2415	1	42	9	0	16	3822	0	1
2416	1	32	15	0	24	6882	0	1
2417	1	19	26	0	24	6882	0	1
2418	1	40	13	0	20	4904	0	1
2419	1	6	27	0	14	3182	0	1
2420	1	43	7	0	18	4107	0	1
2421	1	50	17	0	14	3182	0	1
2422	1	48	19	0	14	3182	0	1
2423	1	31	4	0	12	2481	0	1
2424	1	46	10	0	12	2481	0	1
2425	1	49	3	0	10	1980	0	1
2426	1	47	1	0	26	7708	0	1
2427	1	44	14	0	6	1287	0	1
2428	1	11	22	0	6	1287	0	1
2429	1	45	6	0	6	1287	0	1
2430	1	33	12	0	28	9422	0	1
2431	1	34	16	0	14	3182	0	1
2432	1	39	2	0	28	9422	0	1
2433	1	36	5	0	28	9422	0	1
2434	1	37	20	0	28	9422	0	1
2435	1	38	8	0	22	5861	0	1
2436	1	35	18	0	20	4904	0	1
2437	1	39	2	0	28	9422	0	1
2438	1	37	20	0	28	9422	0	1
2439	1	38	8	0	22	5861	0	1
2505	1	7	30	0	14	3182	0	1
2506	1	15	32	0	14	3182	0	1
2507	1	12	31	0	8	1764	0	1
2508	1	10	28	0	22	5861	0	1
2509	1	30	29	0	10	1980	0	1
2510	1	18	25	0	12	2481	0	1
2511	1	17	24	0	24	6882	0	1
2512	1	5	21	0	14	3182	0	1
2513	1	41	11	0	18	4107	0	1
2514	1	42	9	0	16	3822	0	1
2515	1	16	23	0	8	1764	0	1
2516	1	32	15	0	24	6882	0	1
2517	1	19	26	0	24	6882	0	1
2518	1	40	13	0	20	4904	0	1
2519	1	6	27	0	14	3182	0	1
2520	1	43	7	0	18	4107	0	1
2521	1	50	17	0	14	3182	0	1
2522	1	48	19	0	14	3182	0	1
2523	1	31	4	0	12	2481	0	1
2524	1	46	10	0	12	2481	0	1
2525	1	49	3	0	10	1980	0	1
2526	1	47	1	0	26	7708	0	1
2527	1	44	14	0	6	1287	0	1
2528	1	11	22	0	6	1287	0	1
2529	1	45	6	0	6	1287	0	1
2530	1	33	12	0	28	9422	0	1
2531	1	34	16	0	14	3182	0	1
2532	1	35	18	0	20	4904	0	1
2533	1	36	5	0	26	7708	0	1
2534	1	39	2	0	28	9422	0	1
2535	1	37	20	0	28	9422	0	1
2536	1	38	8	0	22	5861	0	1
2537	1	34	16	0	14	3182	0	1
2538	1	35	18	0	20	4904	0	1
2539	1	36	5	0	26	7708	0	1
2540	1	39	2	0	28	9422	0	1
2541	1	37	20	0	28	9422	0	1
2542	1	38	8	0	22	5861	0	1
2605	1	7	30	0	14	3182	0	1
